t,event_type,task_id,robot_id,payload_json
10.500,DETECTED,roi-026,r02,"{""event_created_at"":6.646702127586421,""latency"":3.853297872413579}"
10.500,ANNOUNCE,roi-026,r02,"{""deadline"":11.5,""duration"":20.0,""k"":1.0,""lam"":0.00693,""n_req"":2,""p0"":0.4,""pos"":[1.1873116537102781,0.7819988935925913],""sender"":""r02"",""t"":10.5,""t_ref"":10.5,""task_id"":""roi-026"",""type"":""push""}"
10.600,BID,roi-026,r00,"{""cost"":0.3356089041177891,""sender"":""r00"",""t"":10.6,""task_id"":""roi-026""}"
10.600,BID,roi-026,r01,"{""cost"":0.22434922865546375,""sender"":""r01"",""t"":10.6,""task_id"":""roi-026""}"
10.600,BID,roi-026,r02,"{""cost"":0.10381205689051794,""sender"":""r02"",""t"":10.6,""task_id"":""roi-026""}"
10.600,BID,roi-026,r04,"{""cost"":0.2364863606838601,""sender"":""r04"",""t"":10.6,""task_id"":""roi-026""}"
10.600,BID,roi-026,r05,"{""cost"":0.17347837627227983,""sender"":""r05"",""t"":10.6,""task_id"":""roi-026""}"
10.600,BID,roi-026,r06,"{""cost"":0.14169798548236776,""sender"":""r06"",""t"":10.6,""task_id"":""roi-026""}"
11.500,AWARD,roi-026,r02,"{""sender"":""r02"",""t"":11.5,""task_id"":""roi-026"",""winners"":[""r02"",""r06""]}"
15.500,DETECTED,roi-006,r00,"{""event_created_at"":15.493783857146648,""latency"":0.00621614285335248}"
15.500,ANNOUNCE,roi-006,r00,"{""deadline"":16.5,""duration"":15.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.6,""pos"":[0.8117204489569763,0.46067518435608723],""sender"":""r00"",""t"":15.5,""t_ref"":15.5,""task_id"":""roi-006"",""type"":""guard""}"
15.600,BID,roi-006,r00,"{""cost"":0.06704915141780544,""sender"":""r00"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r01,"{""cost"":0.2280249913667742,""sender"":""r01"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r02,"{""cost"":0.31654093041580633,""sender"":""r02"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r03,"{""cost"":0.3422371794719271,""sender"":""r03"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r04,"{""cost"":0.17588435443955824,""sender"":""r04"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r05,"{""cost"":0.1163558879075514,""sender"":""r05"",""t"":15.6,""task_id"":""roi-006""}"
15.600,BID,roi-006,r06,"{""cost"":0.29998117905618427,""sender"":""r06"",""t"":15.6,""task_id"":""roi-006""}"
16.500,AWARD,roi-006,r00,"{""sender"":""r00"",""t"":16.5,""task_id"":""roi-006"",""winners"":[""r00""]}"
20.000,ANNOUNCE,survey-14-0000,r00,"{""deadline"":21.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.0],""sender"":""r00"",""t"":20.0,""t_ref"":0.0,""task_id"":""survey-14-0000"",""type"":""survey""}"
20.000,ANNOUNCE,survey-15-0001,r01,"{""deadline"":21.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,1.4000000000000001],""sender"":""r01"",""t"":20.0,""t_ref"":0.0,""task_id"":""survey-15-0001"",""type"":""survey""}"
20.000,ANNOUNCE,survey-16-0002,r02,"{""deadline"":21.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,1.4000000000000001],""sender"":""r02"",""t"":20.0,""t_ref"":0.0,""task_id"":""survey-16-0002"",""type"":""survey""}"
20.100,BID,survey-14-0000,r01,"{""cost"":0.5194944691462071,""sender"":""r01"",""t"":20.1,""task_id"":""survey-14-0000""}"
20.100,BID,survey-14-0000,r03,"{""cost"":0.15141245999586206,""sender"":""r03"",""t"":20.1,""task_id"":""survey-14-0000""}"
20.100,BID,survey-15-0001,r04,"{""cost"":0.37458593855121924,""sender"":""r04"",""t"":20.1,""task_id"":""survey-15-0001""}"
