t,robot_id,x,y,battery,workload,state
0.000,r00,0.120000,0.120000,0.383325,0,EXPLORE
0.000,r01,0.413333,0.200000,0.629992,0,EXPLORE
0.000,r02,0.706667,0.120000,0.753325,0,EXPLORE
0.000,r03,1.000000,0.200000,0.506659,0,EXPLORE
0.000,r04,1.293333,0.120000,0.999992,0,EXPLORE
0.000,r05,1.586667,0.200000,0.259992,0,EXPLORE
0.000,r06,1.880000,0.120000,0.876659,0,EXPLORE
0.500,r00,0.120000,0.120000,0.383285,0,EXPLORE
0.500,r01,0.413333,0.200000,0.629952,0,EXPLORE
0.500,r02,0.706667,0.120000,0.753285,0,EXPLORE
0.500,r03,1.000000,0.200000,0.506619,0,EXPLORE
0.500,r04,1.293333,0.120000,0.999952,0,EXPLORE
0.500,r05,1.586667,0.200000,0.259952,0,EXPLORE
0.500,r06,1.880000,0.120000,0.876619,0,EXPLORE
1.000,r00,0.120000,0.120000,0.383245,0,EXPLORE
1.000,r01,0.413333,0.200000,0.629912,0,EXPLORE
1.000,r02,0.706667,0.120000,0.753245,0,EXPLORE
1.000,r03,1.000000,0.200000,0.506579,0,EXPLORE
1.000,r04,1.293333,0.120000,0.999912,0,EXPLORE
1.000,r05,1.586667,0.200000,0.259912,0,EXPLORE
1.000,r06,1.880000,0.120000,0.876579,0,EXPLORE
1.500,r00,0.136971,0.136971,0.382980,0,EXPLORE
1.500,r01,0.437333,0.200000,0.629646,0,EXPLORE
1.500,r02,0.729821,0.126315,0.752980,0,EXPLORE
1.500,r03,1.024000,0.200000,0.506313,0,EXPLORE
1.500,r04,1.317040,0.123743,0.999646,0,EXPLORE
1.500,r05,1.563607,0.206652,0.259646,0,EXPLORE
1.500,r06,1.857528,0.128427,0.876313,0,EXPLORE
2.000,r00,0.165255,0.165255,0.382564,0,EXPLORE
2.000,r01,0.477333,0.200000,0.629230,0,EXPLORE
2.000,r02,0.768412,0.136840,0.752564,0,EXPLORE
2.000,r03,1.064000,0.200000,0.505897,0,EXPLORE
2.000,r04,1.356550,0.129982,0.999230,0,EXPLORE
2.000,r05,1.525174,0.217738,0.259230,0,EXPLORE
2.000,r06,1.820075,0.142472,0.875897,0,EXPLORE
2.500,r00,0.176569,0.176569,0.382373,0,EXPLORE
2.500,r01,0.517333,0.200000,0.628814,0,EXPLORE
2.500,r02,0.807002,0.147364,0.752148,0,EXPLORE
2.500,r03,1.104000,0.200000,0.505481,0,EXPLORE
2.500,r04,1.396061,0.136220,0.998814,0,EXPLORE
2.500,r05,1.486741,0.228825,0.258814,0,EXPLORE
2.500,r06,1.782622,0.156517,0.875481,0,EXPLORE
3.000,r00,0.176569,0.176569,0.382333,0,EXPLORE
3.000,r01,0.557333,0.200000,0.628398,0,EXPLORE
3.000,r02,0.845593,0.157889,0.751732,0,EXPLORE
3.000,r03,1.144000,0.200000,0.505065,0,EXPLORE
3.000,r04,1.435571,0.142459,0.998398,0,EXPLORE
3.000,r05,1.448308,0.239911,0.258398,0,EXPLORE
3.000,r06,1.745169,0.170562,0.875065,0,EXPLORE
3.500,r00,0.176569,0.176569,0.382293,0,EXPLORE
3.500,r01,0.565333,0.200000,0.628283,0,EXPLORE
3.500,r02,0.884183,0.168414,0.751316,0,EXPLORE
3.500,r03,1.184000,0.200000,0.504649,0,EXPLORE
3.500,r04,1.475082,0.148697,0.997982,0,EXPLORE
3.500,r05,1.409875,0.250998,0.257982,0,EXPLORE
3.500,r06,1.707715,0.184607,0.874649,0,EXPLORE
4.000,r00,0.178779,0.216507,0.381877,0,EXPLORE
4.000,r01,0.565333,0.200000,0.628243,0,EXPLORE
4.000,r02,0.922774,0.178938,0.750900,0,EXPLORE
4.000,r03,1.224000,0.200000,0.504233,0,EXPLORE
4.000,r04,1.514592,0.154936,0.997566,0,EXPLORE
4.000,r05,1.371442,0.262084,0.257566,0,EXPLORE
4.000,r06,1.670262,0.198652,0.874233,0,EXPLORE
4.500,r00,0.180989,0.256446,0.381461,0,EXPLORE
4.500,r01,0.566024,0.207970,0.628128,0,EXPLORE
4.500,r02,0.961364,0.189463,0.750484,0,EXPLORE
4.500,r03,1.264000,0.200000,0.503817,0,EXPLORE
4.500,r04,1.554103,0.161174,0.997150,0,EXPLORE
4.500,r05,1.333009,0.273170,0.257150,0,EXPLORE
4.500,r06,1.632809,0.212697,0.873817,0,EXPLORE
5.000,r00,0.183199,0.296385,0.381045,0,EXPLORE
5.000,r01,0.569478,0.247821,0.627712,0,EXPLORE
5.000,r02,0.969082,0.191568,0.750369,0,EXPLORE
5.000,r03,1.304000,0.200000,0.503401,0,EXPLORE
5.000,r04,1.593613,0.167413,0.996734,0,EXPLORE
5.000,r05,1.294576,0.284257,0.256734,0,EXPLORE
5.000,r06,1.595356,0.226742,0.873401,0,EXPLORE
5.500,r00,0.185409,0.336324,0.380629,0,EXPLORE
5.500,r01,0.572932,0.287671,0.627296,0,EXPLORE
5.500,r02,0.969082,0.191568,0.750329,0,EXPLORE
5.500,r03,1.344000,0.200000,0.502985,0,EXPLORE
5.500,r04,1.633124,0.173651,0.996318,0,EXPLORE
5.500,r05,1.256143,0.295343,0.256318,0,EXPLORE
5.500,r06,1.557903,0.240786,0.872985,0,EXPLORE
6.000,r00,0.187619,0.376263,0.380213,0,EXPLORE
6.000,r01,0.576385,0.327522,0.626880,0,EXPLORE
6.000,r02,0.969686,0.199545,0.750213,0,EXPLORE
6.000,r03,1.368000,0.200000,0.502719,0,EXPLORE
6.000,r04,1.672634,0.179890,0.995902,0,EXPLORE
6.000,r05,1.217710,0.306430,0.255902,0,EXPLORE
6.000,r06,1.520450,0.254831,0.872569,0,EXPLORE
6.500,r00,0.189829,0.416202,0.379797,0,EXPLORE
6.500,r01,0.579839,0.367373,0.626464,0,EXPLORE
6.500,r02,0.972706,0.239431,0.749797,0,EXPLORE
6.500,r03,1.368000,0.200000,0.502679,0,EXPLORE
6.500,r04,1.712145,0.186128,0.995486,0,EXPLORE
6.500,r05,1.179277,0.317516,0.255486,0,EXPLORE
6.500,r06,1.482996,0.268876,0.872153,0,EXPLORE
7.000,r00,0.192039,0.456141,0.379381,0,EXPLORE
7.000,r01,0.583293,0.407223,0.626048,0,EXPLORE
7.000,r02,0.975725,0.279317,0.749381,0,EXPLORE
7.000,r03,1.368000,0.200000,0.502639,0,EXPLORE
7.000,r04,1.751655,0.192367,0.995070,0,EXPLORE
7.000,r05,1.140845,0.328603,0.255070,0,EXPLORE
7.000,r06,1.445543,0.282921,0.871737,0,EXPLORE
7.500,r00,0.194249,0.496080,0.378965,0,EXPLORE
7.500,r01,0.586746,0.447074,0.625632,0,EXPLORE
7.500,r02,0.978744,0.319203,0.748965,0,EXPLORE
7.500,r03,1.391480,0.221741,0.502299,0,EXPLORE
7.500,r04,1.767460,0.194862,0.994880,0,EXPLORE
7.500,r05,1.102412,0.339689,0.254654,0,EXPLORE
7.500,r06,1.408090,0.296966,0.871321,0,EXPLORE
8.000,r00,0.196459,0.536019,0.378549,0,EXPLORE
8.000,r01,0.590200,0.486924,0.625216,0,EXPLORE
8.000,r02,0.981763,0.359089,0.748549,0,EXPLORE
8.000,r03,1.420831,0.248917,0.501883,0,EXPLORE
8.000,r04,1.767460,0.194862,0.994840,0,EXPLORE
8.000,r05,1.063979,0.350775,0.254238,0,EXPLORE
8.000,r06,1.370637,0.311011,0.870905,0,EXPLORE
8.500,r00,0.198228,0.567970,0.378209,0,EXPLORE
8.500,r01,0.593654,0.526775,0.624800,0,EXPLORE
8.500,r02,0.984783,0.398975,0.748133,0,EXPLORE
8.500,r03,1.450181,0.276094,0.501467,0,EXPLORE
8.500,r04,1.767460,0.194862,0.994800,0,EXPLORE
8.500,r05,1.025546,0.361862,0.253822,0,EXPLORE
8.500,r06,1.333184,0.325056,0.870489,0,EXPLORE
