alpha,beta,gamma,delta,theta_hyst,seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error,quality_score
1.0,0.0,0.0,0.5,0.1,0,market,28,28,28,27,0,1,0.9642857142857143,1.0,41.55555555555556,35.7,0.996875,5.316666666666666,2.5555062599997598,36.96296296296296,5625.407407407408,998,151886,42.55590682196339,292.5,11.301227914407605,20,0.5217357714285106,0.17823839999997793,0.23648991200460123,0,300.0,62.743999999998906,3,0,0,0.8278575091489365
1.0,0.0,0.0,0.5,0.1,1,market,28,28,28,28,0,0,1.0,1.0,37.010714285714286,36.9,0.9825,5.24,1.9059520091609048,35.5,5347.035714285715,994,149717,38.00898502495842,299.5,9.868317426176663,19,0.5192863999999395,0.15003839999997887,0.24241844174165847,0,300.0,64.56799999999902,3,0,0,0.8686304209631946
1.0,0.0,0.0,0.5,0.1,2,market,28,25,25,20,0,5,0.7142857142857143,0.8928571428571429,50.265,32.45,0.933125,4.976666666666667,1.0301575072754254,50.75,8328.1,1015,166562,63.40672212978366,300.0,2.749667500599815,10,0.5492159999999524,0.17094399999997817,0.24469252516060236,0,300.0,42.279999999999696,3,0,0,0.7992338227986828
1.0,0.0,0.0,0.5,0.1,3,market,28,28,28,25,0,3,0.8928571428571429,1.0,47.51599999999999,36.0,0.983125,5.243333333333333,1.4846149779161806,38.0,5579.84,950,139496,21.09773710482528,165.0,15.516459905459145,17,0.5127439999999419,0.15635519999997866,0.2571304505415826,0,300.0,69.43999999999829,3,0,0,0.8539389994548384
1.0,0.0,0.0,0.5,0.1,4,market,28,23,23,15,0,8,0.5357142857142857,0.8214285714285714,55.84666666666667,35.099999999999994,0.989375,5.276666666666666,1.9897697538834456,61.53333333333333,9704.066666666668,923,145561,41.290083194675525,227.5,23.50067864687775,18,0.5298895999999379,0.17771199999997794,0.22956864002811012,0,300.0,56.671999999999095,3,0,0,0.6984347901703943
1.0,0.0,0.0,0.5,0.1,5,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,41.83461538461539,37.7,0.95375,5.086666666666667,1.4846149779161806,35.57692307692308,5405.7307692307695,925,140549,33.90941763727122,300.0,7.045735891483758,13,0.51432319999994,0.13808159999997927,0.2468216937527311,0,300.0,68.26399999999865,3,0,0,0.8601459155974323
1.0,0.0,0.0,0.5,0.1,6,market,28,27,27,24,0,3,0.8571428571428571,0.9642857142857143,40.112500000000004,37.150000000000006,0.99,5.28,2.5555062599997598,39.458333333333336,5776.125,947,138627,22.645623960066583,201.5,20.37907092762807,23,0.5064701714285109,0.13168959999997948,0.2516364192960437,0,300.0,74.11199999999798,3,0,0,0.7947084573465906
1.0,0.0,0.0,0.5,0.1,7,market,28,27,27,24,0,3,0.8571428571428571,0.9642857142857143,43.229166666666664,34.4,1.0,5.333333333333333,3.1036515689143473,37.041666666666664,5416.166666666667,889,129988,23.16319467554078,149.5,4.204176676647678,11,0.5077270857142172,0.11379199999999144,0.22972819734277886,0,300.0,73.17599999999759,3,0,0,0.7743765954957975
1.0,0.0,0.0,1.5,0.1,0,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,51.199999999999996,35.7,0.95125,5.073333333333333,1.385051387833237,43.65217391304348,6747.869565217391,1004,155201,42.40339434276206,300.0,5.463965092882911,20,0.5202102857142223,0.1786895999999779,0.22606540787696675,0,300.0,63.879999999998546,3,0,0,0.8238502196988299
1.0,0.0,0.0,1.5,0.1,1,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,53.8608695652174,50.400000000000006,0.97125,5.18,1.7261494247992246,40.130434782608695,6208.565217391304,923,142797,34.34299500831946,288.5,24.22311808215862,16,0.5254957714285108,0.1667327999999783,0.23008569235948925,0,300.0,59.94399999999899,3,0,0,0.8073813542892831
1.0,0.0,0.0,1.5,0.1,2,market,28,28,28,20,1,7,0.7142857142857143,1.0,56.59499999999999,32.45,0.9625,5.133333333333334,1.2936264483053452,53.5,8612.95,1070,172259,62.57870216306154,300.0,17.44213072858062,13,0.5476475428570949,0.17094399999997817,0.24448196714530085,0,300.0,43.447999999999695,3,0,0,0.7947294735162833
1.0,0.0,0.0,1.5,0.1,3,market,28,28,28,28,0,0,1.0,1.0,42.61071428571428,38.45,1.0,5.333333333333333,3.0438965360946453,35.0,4998.285714285715,980,139952,20.560532445923457,196.0,7.373602762602002,21,0.5017110857142175,0.16650719999997832,0.23160463377533233,0,300.0,77.65599999999759,3,0,0,0.8232259582038489
1.0,0.0,0.0,1.5,0.1,4,market,28,22,22,17,2,3,0.6071428571428571,0.7857142857142857,60.61764705882353,45.5,0.989375,5.276666666666666,1.0301575072754254,54.05882352941177,8525.176470588236,919,144928,34.93344425956739,202.0,14.69904439943875,17,0.5199524571427928,0.14078879999997918,0.2361985884750234,0,300.0,64.07199999999857,3,0,0,0.7590798066014027
1.0,0.0,0.0,1.5,0.1,5,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,41.83461538461539,37.7,0.95375,5.086666666666667,1.4846149779161806,35.57692307692308,5405.7307692307695,925,140549,33.90941763727122,300.0,7.045735891483758,13,0.51432319999994,0.13808159999997927,0.2468216937527311,0,300.0,68.26399999999865,3,0,0,0.8601459155974323
1.0,0.0,0.0,1.5,0.1,6,market,28,26,26,21,0,5,0.75,0.9285714285714286,29.642857142857142,27.80000000000001,0.99125,5.286666666666667,3.331972511340172,45.57142857142857,6643.809523809524,957,139520,27.31158069883528,201.5,21.470468520542493,24,0.510842514285654,0.13176479999997948,0.2501567030856165,0,300.0,70.85599999999806,3,0,0,0.7279891301014118
1.0,0.0,0.0,1.5,0.1,7,market,28,28,28,24,0,4,0.8571428571428571,1.0,43.125,35.249999999999986,1.0,5.333333333333333,3.010186786529354,37.916666666666664,5499.083333333333,910,131978,18.7811980033278,166.0,9.35615499555192,13,0.505181028571358,0.10597119999999186,0.23223247674490083,0,300.0,75.07199999999726,3,0,0,0.7818274811346032
1.0,0.0,0.5,0.5,0.1,0,market,28,28,28,25,0,3,0.8928571428571429,1.0,56.36,57.69999999999999,0.990625,5.283333333333333,3.1815796359028696,36.2,5686.56,905,142164,35.94086522462565,238.5,11.551227914407605,13,0.5140438857142293,0.13605119999997933,0.26003789212465306,0,300.0,68.47199999999854,3,0,0,0.7756709902689932
1.0,0.0,0.5,0.5,0.1,1,market,28,25,25,21,0,4,0.75,0.8928571428571429,61.23809523809524,60.19999999999999,0.955,5.093333333333334,2.762725657973388,44.285714285714285,7202.476190476191,930,151252,44.988186356073214,300.0,21.824586623035234,13,0.5363030857142375,0.13582559999997934,0.25654634266026827,0,300.0,51.89599999999963,3,0,0,0.7329463887195405
1.0,0.0,0.5,0.5,0.1,2,market,28,28,28,22,4,2,0.7857142857142857,1.0,66.41818181818182,61.24999999999999,0.948125,5.056666666666667,2.312344865176949,42.63636363636363,6687.454545454545,938,147124,39.340266222961745,300.0,7.781416442866335,11,0.5261295999999556,0.12695199999997964,0.27913568786939214,0,300.0,59.47199999999853,3,0,0,0.7758807260568951
1.0,0.0,0.5,0.5,0.1,3,market,28,28,28,23,1,4,0.8214285714285714,1.0,72.53478260869565,74.5,0.96625,5.153333333333333,2.166535841157586,39.52173913043478,6195.391304347826,909,142494,39.75963394342759,300.0,17.35574561974486,12,0.5283103999999536,0.15357279999997875,0.2655752092116462,0,300.0,57.847999999999026,3,0,0,0.7894745514798719
1.0,0.0,0.5,0.5,0.1,4,market,28,25,25,18,1,6,0.6428571428571429,0.8928571428571429,60.37777777777777,50.349999999999994,0.945625,5.043333333333333,3.116774889895918,51.27777777777778,8107.0,923,145926,43.51547420965059,300.0,12.142660128631315,12,0.5217465142856625,0.1728239999999781,0.25677250532684653,0,300.0,62.73599999999878,3,0,0,0.6873720264021351
1.0,0.0,0.5,0.5,0.1,5,market,28,26,26,22,0,4,0.7857142857142857,0.9285714285714286,73.38181818181819,72.60000000000001,0.9675,5.16,1.9166296949998198,41.18181818181818,6768.181818181818,906,148900,62.11690515806985,300.0,5.22590902986458,6,0.539934171428525,0.13770559999997928,0.2561301675293978,0,300.0,49.191999999999766,3,0,0,0.7795573716236123
1.0,0.0,0.5,0.5,0.1,6,market,28,27,27,20,0,7,0.7142857142857143,0.9642857142857143,85.85,73.8,0.998125,5.323333333333333,1.5779087167410373,49.15,7666.5,983,153330,43.58183028286191,245.5,24.511854840741293,13,0.5253023999999513,0.1224399999999815,0.27075416414964815,0,300.0,60.087999999998715,3,0,0,0.773303075553779
1.0,0.0,0.5,0.5,0.1,7,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,46.57692307692308,42.95,1.0,5.333333333333333,3.7688302737922625,33.53846153846154,4907.5,872,127595,25.28412645590682,180.5,7.463435935906937,13,0.4926548571428029,0.08732159999999466,0.27978053847105494,0,300.0,84.39999999999674,3,0,0,0.775623199724879
1.0,0.0,0.5,1.5,0.1,0,market,28,28,28,24,0,4,0.8571428571428571,1.0,56.30416666666667,59.05,0.990625,5.283333333333333,2.962348764761103,37.875,5941.458333333333,909,142595,37.421331114808716,292.5,11.551227914407605,14,0.5145058285713725,0.13620159999997933,0.26068047786146065,0,300.0,68.12799999999855,3,0,0,0.7739992306678455
1.0,0.0,0.5,1.5,0.1,1,market,28,26,26,22,0,4,0.7857142857142857,0.9285714285714286,72.31363636363636,77.55,0.95875,5.113333333333333,2.166535841157586,43.0,6978.909090909091,946,153536,54.06579034941765,300.0,28.288485384153923,14,0.5370980571428098,0.1703423999999782,0.2525755621711729,0,300.0,51.3039999999997,3,0,0,0.7653895592415989
1.0,0.0,0.5,1.5,0.1,2,market,28,28,28,24,3,1,0.8571428571428571,1.0,60.824999999999996,54.64999999999999,0.953125,5.083333333333333,2.5872528966106905,40.375,6224.833333333333,969,149396,38.7717803660566,300.0,7.781416442866335,18,0.5222621714285234,0.14048799999997919,0.27183972711190774,0,300.0,62.3519999999986,3,0,0,0.7876001434490649
1.0,0.0,0.5,1.5,0.1,3,market,28,26,26,20,1,5,0.7142857142857143,0.9285714285714286,98.785,97.8,0.960625,5.123333333333333,2.2587697572631282,47.3,7679.15,946,153583,51.78389351081531,300.0,18.89644462687036,14,0.5346271999999531,0.1668831999999783,0.257818147568642,0,300.0,53.14399999999949,3,0,0,0.7339545069586145
1.0,0.0,0.5,1.5,0.1,4,market,28,24,24,17,1,6,0.6071428571428571,0.8571428571428571,64.91176470588235,69.19999999999999,0.90875,4.846666666666667,2.1189138534559038,56.11764705882353,8942.176470588236,954,152017,53.03124792013309,300.0,11.774960546500056,12,0.5308886857142349,0.1789903999999779,0.25157976694150214,0,300.0,55.927999999999486,3,0,0,0.7105020716151363
1.0,0.0,0.5,1.5,0.1,5,market,28,26,26,22,0,4,0.7857142857142857,0.9285714285714286,73.38181818181819,72.60000000000001,0.9675,5.16,1.9166296949998198,41.18181818181818,6768.181818181818,906,148900,62.11690515806985,300.0,5.22590902986458,6,0.539934171428525,0.13770559999997928,0.2561301675293978,0,300.0,49.191999999999766,3,0,0,0.7795573716236123
1.0,0.0,0.5,1.5,0.1,6,market,28,25,25,19,0,6,0.6785714285714286,0.8928571428571429,84.65789473684211,73.19999999999999,0.998125,5.323333333333333,1.3997084244475304,51.68421052631579,8108.631578947368,982,154064,44.30156405990015,245.5,21.73125283285608,12,0.5252271999999519,0.12589919999997967,0.27105709503659475,0,300.0,60.14399999999871,3,0,0,0.7639335746296592
1.0,0.0,0.5,1.5,0.1,7,market,28,27,27,21,0,6,0.75,0.9642857142857143,53.89523809523809,43.400000000000006,0.99125,5.286666666666667,3.5799897388976194,43.04761904761905,6589.333333333333,904,138376,33.91497504159736,206.0,4.630102602573603,13,0.5136034285713785,0.09687199999999341,0.2748879754243637,0,300.0,68.79999999999825,3,0,0,0.7185818128737012
1.0,0.0,1.0,0.5,0.1,0,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,63.573076923076925,62.05,0.978125,5.216666666666667,2.7774602993176543,33.57692307692308,5246.153846153846,873,136400,33.75391014975041,300.0,5.812466728165291,9,0.5044612571428047,0.07318399999999227,0.2805810058524403,0,300.0,75.60799999999757,3,0,0,0.7985469894450432
1.0,0.0,1.0,0.5,0.1,1,market,28,22,22,16,1,5,0.5714285714285714,0.7857142857142857,82.675,75.70000000000002,0.955625,5.096666666666667,1.511857892036909,57.5,9503.1875,920,152051,46.753377703826985,257.5,11.196365128179737,11,0.5356262857142401,0.11943199999998956,0.2607647262896333,0,300.0,52.399999999999515,3,0,0,0.7171302687093914
1.0,0.0,1.0,0.5,0.1,2,market,28,28,28,20,1,7,0.7142857142857143,1.0,58.120000000000005,51.900000000000006,0.965,5.1466666666666665,2.747912008810192,52.3,8144.4,1046,162888,46.50811980033278,300.0,15.013559300009192,22,0.5220795428570988,0.10890399999999473,0.2748675531070793,0,300.0,62.4879999999985,4,0,0,0.7355933714580416
1.0,0.0,1.0,0.5,0.1,3,market,28,26,26,21,1,4,0.75,0.9285714285714286,62.11904761904762,66.1,1.0,5.333333333333333,1.385051387833237,41.76190476190476,6508.428571428572,877,136677,26.59271214642264,183.0,19.307927583958143,15,0.5112614857142365,0.08957759999999408,0.27837752039651176,0,300.0,70.54399999999785,3,0,0,0.8017579497350162
1.0,0.0,1.0,0.5,0.1,4,market,28,28,28,17,4,7,0.6071428571428571,1.0,68.17647058823529,69.80000000000001,0.989375,5.276666666666666,1.8294640678379568,52.470588235294116,8308.470588235294,892,141244,36.23740432612316,251.0,15.699769374891371,15,0.5202210285713745,0.1336447999999794,0.2597576520142755,0,300.0,63.871999999998955,3,0,0,0.743164978126899
1.0,0.0,1.0,0.5,0.1,5,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,65.76086956521739,60.89999999999998,0.951875,5.076666666666667,1.8294640678379568,40.04347826086956,6403.347826086957,921,147277,40.8268552412646,300.0,13.24513979909535,9,0.5265485714285231,0.10597119999999118,0.26362403710422544,0,300.0,59.15999999999926,3,0,0,0.7989033060772674
1.0,0.0,1.0,0.5,0.1,6,market,28,26,26,20,0,6,0.7142857142857143,0.9285714285714286,86.64,73.8,0.998125,5.323333333333333,1.2777531299998799,47.7,7571.9,954,151438,44.80841930116473,245.5,21.795557636995177,10,0.5278806857142371,0.12259039999998018,0.26922767539764386,0,300.0,58.16799999999891,3,0,0,0.7827677510710599
1.0,0.0,1.0,0.5,0.1,7,market,28,27,27,21,0,6,0.75,0.9642857142857143,60.857142857142854,66.4,0.9925,5.293333333333333,2.9137254363387344,41.333333333333336,6331.047619047619,868,132952,32.70692179700498,180.0,7.889361861832863,11,0.511078857142807,0.07378559999999165,0.2794467885844024,0,300.0,70.67999999999789,3,0,0,0.7408851558147084
1.0,0.0,1.0,1.5,0.1,0,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,63.573076923076925,62.05,0.978125,5.216666666666667,2.7774602993176543,33.57692307692308,5246.153846153846,873,136400,33.75391014975041,300.0,5.812466728165291,9,0.5044612571428047,0.07318399999999227,0.2805810058524403,0,300.0,75.60799999999757,3,0,0,0.7985469894450432
1.0,0.0,1.0,1.5,0.1,1,market,28,25,25,14,2,9,0.5,0.8928571428571429,76.2,82.55,0.98,5.226666666666667,1.385051387833237,64.92857142857143,10291.857142857143,909,144086,42.24871880199671,248.5,21.062732820128623,15,0.5344123428570985,0.12913279999997956,0.2655199429660705,0,300.0,53.30399999999926,3,0,0,0.7140660235638204
1.0,0.0,1.0,1.5,0.1,2,market,28,25,25,18,0,7,0.6428571428571429,0.8928571428571429,60.32777777777778,56.55,0.91125,4.86,2.969229955832361,52.388888888888886,8139.611111111111,943,146513,40.32655574043261,300.0,0.6525171637599635,12,0.517470857142812,0.05483519999999543,0.2829546754741209,0,300.0,65.91999999999824,3,0,0,0.695310926145597
1.0,0.0,1.0,1.5,0.1,3,market,28,25,25,20,1,4,0.7142857142857143,0.8928571428571429,75.785,71.05000000000001,1.0,5.333333333333333,2.969229955832361,43.2,6504.25,864,130085,24.74589018302827,266.5,16.666126337750292,16,0.5043860571428062,0.06002399999999538,0.27964152587746594,0,300.0,75.66399999999767,3,0,0,0.7157886855081376
1.0,0.0,1.0,1.5,0.1,4,market,28,28,28,18,4,6,0.6428571428571429,1.0,73.17777777777778,72.60000000000001,0.998125,5.323333333333333,2.718042512920064,50.94444444444444,8100.666666666667,917,145812,38.5666888519135,270.5,19.55691223203423,10,0.5171270857142322,0.11514559999998208,0.26130750334802905,0,300.0,66.1759999999989,3,0,0,0.712891888400941
1.0,0.0,1.0,1.5,0.1,5,market,28,27,27,18,0,9,0.6428571428571429,0.9642857142857143,74.9,48.400000000000006,0.9675,5.16,2.813959371941744,55.05555555555556,8558.666666666666,991,154056,39.76246256239604,300.0,12.24943959518746,16,0.5220795428571026,0.06844639999999545,0.28957209367539916,0,300.0,62.48799999999807,3,0,0,0.7047382400422167
1.0,0.0,1.0,1.5,0.1,6,market,28,25,25,19,0,6,0.6785714285714286,0.8928571428571429,85.09473684210526,73.19999999999999,1.0,5.333333333333333,1.6781914463529615,50.421052631578945,7935.578947368421,958,150776,43.36589018302826,245.5,20.81125283285608,10,0.5232719999999519,0.11725119999998182,0.2733807456777229,0,300.0,61.59999999999854,3,0,0,0.7523131436419808
1.0,0.0,1.0,1.5,0.1,7,market,28,27,27,21,0,6,0.75,0.9642857142857143,60.857142857142854,66.4,0.9925,5.293333333333333,2.9137254363387344,41.333333333333336,6331.047619047619,868,132952,32.70692179700498,180.0,7.889361861832863,11,0.511078857142807,0.07378559999999165,0.2794467885844024,0,300.0,70.67999999999789,3,0,0,0.7408851558147084
1.0,0.5,0.0,0.5,0.1,0,market,28,28,28,27,0,1,0.9642857142857143,1.0,29.31111111111111,26.599999999999994,1.0,5.333333333333333,0.7284313590846836,40.666666666666664,6052.111111111111,1098,163407,37.0427953410982,292.5,11.069085057264747,32,0.50917737142851,0.1398863999999792,0.25109386329380345,0,300.0,72.09599999999827,2,0,0,0.9112948603978664
1.0,0.5,0.0,0.5,0.1,1,market,28,27,27,25,0,2,0.8928571428571429,0.9642857142857143,33.976,30.80000000000001,1.0,5.333333333333333,2.249716535431946,40.72,6280.44,1018,157011,36.00296173044926,241.5,23.847291414615924,21,0.5254850285713757,0.11319039999998264,0.25640570258757395,0,300.0,59.951999999999195,2,0,0,0.8176530516423361
1.0,0.5,0.0,0.5,0.1,2,market,28,23,23,20,0,3,0.7142857142857143,0.8214285714285714,53.11500000000001,40.400000000000006,0.960625,5.123333333333333,1.2936264483053452,51.1,8256.2,1022,165124,65.17211314475871,292.5,4.065342906116056,15,0.5435545142856659,0.175681599999978,0.24526711283124364,0,300.0,46.49599999999989,3,0,0,0.7801636034606915
1.0,0.5,0.0,0.5,0.1,3,market,28,28,28,28,0,0,1.0,1.0,30.77857142857143,26.15,1.0,5.333333333333333,0.989743318610787,34.392857142857146,5018.535714285715,963,140519,27.092146422628964,254.5,11.445031334030574,22,0.5001641142856524,0.12627519999997966,0.252764191041744,0,300.0,78.80799999999752,3,0,0,0.9124360314165122
1.0,0.5,0.0,0.5,0.1,4,market,28,25,25,20,0,5,0.7142857142857143,0.8928571428571429,37.005,27.75,0.9975,5.32,1.178030178747903,49.0,7639.85,980,152797,41.22329450915142,241.5,12.693725324550398,20,0.5245396571428022,0.1523695999999788,0.24694154849619943,0,300.0,60.655999999999345,3,0,0,0.8028966559897754
1.0,0.5,0.0,0.5,0.1,5,market,28,28,28,26,0,2,0.9285714285714286,1.0,33.86538461538461,29.650000000000006,0.996875,5.316666666666666,1.498298354528788,36.42307692307692,5309.807692307692,947,138055,30.714941763727115,285.5,5.413201061851594,19,0.5072866285713667,0.1371039999999793,0.2474384798427954,0,300.0,73.50399999999797,3,0,0,0.8688245304541136
1.0,0.5,0.0,0.5,0.1,6,market,28,27,27,25,0,2,0.8928571428571429,0.9642857142857143,30.18,26.30000000000001,1.0,5.333333333333333,2.231499907401901,41.08,5920.16,1027,148004,27.04941763727121,197.0,18.619811668368808,30,0.5047190857142236,0.12635039999997966,0.2514082713811718,0,300.0,75.41599999999787,3,0,0,0.8222681574949761
1.0,0.5,0.0,0.5,0.1,7,market,28,28,28,28,0,0,1.0,1.0,34.04285714285714,34.75,1.0,5.333333333333333,1.4846149779161806,33.5,4797.714285714285,938,134336,24.25550748752081,235.5,8.641869281266207,16,0.5035588571427945,0.13853279999997925,0.24421974908736158,0,300.0,76.27999999999774,3,0,0,0.8917193961174785
1.0,0.5,0.0,1.5,0.1,0,market,28,28,28,27,0,1,0.9642857142857143,1.0,29.31111111111111,26.599999999999994,1.0,5.333333333333333,0.7284313590846836,40.666666666666664,6052.111111111111,1098,163407,37.0427953410982,292.5,11.069085057264747,32,0.50917737142851,0.1398863999999792,0.25109386329380345,0,300.0,72.09599999999827,2,0,0,0.9112948603978664
1.0,0.5,0.0,1.5,0.1,1,market,28,28,28,28,0,0,1.0,1.0,31.50714285714286,26.35000000000001,1.0,5.333333333333333,1.0301575072754254,37.714285714285715,5621.892857142857,1056,157413,39.52655574043261,252.0,18.689745997605236,24,0.5123465142856493,0.14056319999997918,0.24136807264631335,0,300.0,69.7359999999984,3,0,0,0.9060639817103505
1.0,0.5,0.0,1.5,0.1,2,market,28,23,23,20,0,3,0.7142857142857143,0.8214285714285714,53.11500000000001,40.400000000000006,0.960625,5.123333333333333,1.2936264483053452,51.1,8256.2,1022,165124,65.17211314475871,292.5,4.065342906116056,15,0.5435545142856659,0.175681599999978,0.24526711283124364,0,300.0,46.49599999999989,3,0,0,0.7801636034606915
1.0,0.5,0.0,1.5,0.1,3,market,28,28,28,28,0,0,1.0,1.0,30.77857142857143,26.15,1.0,5.333333333333333,0.989743318610787,34.392857142857146,5018.535714285715,963,140519,27.092146422628964,254.5,11.445031334030574,22,0.5001641142856524,0.12627519999997966,0.252764191041744,0,300.0,78.80799999999752,3,0,0,0.9124360314165122
1.0,0.5,0.0,1.5,0.1,4,market,28,28,28,25,0,3,0.8928571428571429,1.0,40.72,27.799999999999997,1.0,5.333333333333333,1.124858267715973,38.48,5847.56,962,146189,32.882063227953445,223.0,24.18191223203423,23,0.5101334857142255,0.1396607999999792,0.24672335237555723,0,300.0,71.38399999999834,3,0,0,0.8671712759543836
1.0,0.5,0.0,1.5,0.1,5,market,28,27,27,27,0,0,0.9642857142857143,0.9642857142857143,33.233333333333334,28.600000000000023,0.943125,5.03,0.6998542122237652,37.18518518518518,5480.407407407408,1004,147971,37.95111480865228,300.0,5.971661817409683,25,0.5076841142856529,0.11138559999998396,0.25129089155864714,0,300.0,73.20799999999804,3,0,0,0.9056695266586406
1.0,0.5,0.0,1.5,0.1,6,market,28,28,28,23,0,5,0.8214285714285714,1.0,36.54347826086956,29.099999999999994,0.996875,5.316666666666666,1.8405855323893037,46.17391304347826,6676.695652173913,1062,153564,33.424725457570695,210.0,31.74537489943208,33,0.5108854857142233,0.1228911999999804,0.24782783938547823,0,300.0,70.82399999999828,2,0,0,0.8144326849263743
1.0,0.5,0.0,1.5,0.1,7,market,28,27,27,27,0,0,0.9642857142857143,0.9642857142857143,36.1888888888889,29.30000000000001,1.0,5.333333333333333,1.0690449676496976,34.77777777777778,5068.555555555556,939,136851,27.650981697171385,203.0,8.833806306277308,15,0.5053743999999375,0.13529919999997936,0.24455367419884128,0,300.0,74.92799999999795,3,0,0,0.8936690132613365
1.0,0.5,0.5,0.5,0.1,0,market,28,27,27,24,0,3,0.8571428571428571,0.9642857142857143,46.770833333333336,43.650000000000006,0.961875,5.13,2.5475077857324298,41.541666666666664,6249.041666666667,997,149977,34.17906821963395,300.0,15.034688950387514,20,0.5129695999999443,0.09093119999998794,0.26249291236237837,0,300.0,69.27199999999854,3,0,0,0.7899219634105034
1.0,0.5,0.5,0.5,0.1,1,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,43.16538461538461,37.05000000000001,0.964375,5.1433333333333335,2.762725657973388,39.30769230769231,6042.423076923077,1022,157103,50.85410981697176,300.0,23.917521490810607,20,0.5242925714285163,0.1340959999999794,0.2513618136686543,0,300.0,60.839999999999314,3,0,0,0.79750053786839
1.0,0.5,0.5,0.5,0.1,2,market,28,28,28,26,0,2,0.9285714285714286,1.0,35.24615384615385,30.499999999999996,1.0,5.333333333333333,3.1558174334820746,40.15384615384615,6019.346153846154,1044,156503,29.237171381031615,233.5,12.81713072858062,24,0.5147851428570931,0.09845119999998558,0.2737223940683216,0,300.0,67.9199999999984,3,0,0,0.7965254063161515
